,hpi,perm,wage,supply,mr
1990-03-31,72.28666666666668,919.1759982344435,10922571848.6876,7.466666666666666,10.131538461538462
1990-06-30,72.68,901.4284209033294,11159490266.4437,8.133333333333333,10.323846153846155
1990-09-30,73.47333333333334,837.468037392728,11428279871.2134,8.133333333333333,10.103076923076923
1990-12-31,73.89333333333333,863.026159142183,11536688834.0885,8.466666666666667,9.95923076923077
1991-03-31,74.64333333333333,800.5929212940604,11783694107.7105,8.200000000000001,9.500769230769231
1991-06-30,74.83,1009.7636642178946,12071573393.0242,7.1000000000000005,9.522307692307693
1991-09-30,75.07,1074.1115284117132,12217995206.4593,7.1000000000000005,9.273076923076923
1991-12-31,75.53,1003.3807872922971,12291070211.5736,6.366666666666667,8.69
1992-03-31,76.54,1141.35114740691,12512100360.1145,5.3999999999999995,8.688461538461539
1992-06-30,76.32333333333334,1078.5308267625144,12615478553.0553,5.8999999999999995,8.677692307692308
1992-09-30,76.81333333333333,1087.3991081115653,12671084391.0012,5.166666666666667,8.017692307692307
1992-12-31,77.52333333333333,1169.67139522526,13514209361.4775,5.166666666666667,8.192142857142857
1993-03-31,77.57666666666667,1120.0215246492435,12507467952.1268,5.366666666666667,7.723333333333334
1993-06-30,78.0,1045.4042189004647,13126292096.2272,5.066666666666666,7.453076923076923
1993-09-30,78.35,1158.0409171449467,13297261089.1761,5.233333333333333,7.087692307692308
1993-12-31,78.82666666666667,1235.9011485166734,13773927061.949,4.766666666666667,7.046428571428572
1994-03-31,78.83999999999999,1341.8859461196,13277421678.2046,5.233333333333333,7.295833333333333
1994-06-30,79.01666666666667,1355.84882379555,13538348661.5132,5.566666666666666,8.427692307692308
1994-09-30,79.45,1274.1105731104067,14056133977.0873,6.133333333333333,8.594285714285714
1994-12-31,79.01333333333334,1269.2309611583398,14093003862.2156,6.166666666666667,9.105384615384615
1995-03-31,79.03666666666666,1263.6462635526066,14297032882.013,6.966666666666666,8.785384615384617
1995-06-30,79.35000000000001,1192.47609621024,14633120928.6456,6.266666666666667,7.917692307692307
1995-09-30,79.62666666666667,1414.4162304661597,14720185880.9688,6.0,7.696153846153846
1995-12-31,79.84666666666666,1474.5591407198735,14916240075.8206,6.5,7.339230769230769
1996-03-31,80.29,1678.7417977245466,15439990483.9467,5.966666666666666,7.272307692307692
1996-06-30,80.67,1658.722541038873,15638579515.418,5.966666666666666,8.102307692307692
1996-09-30,81.06666666666666,1539.655691737463,15770041976.9969,5.3,8.146923076923077
1996-12-31,81.59666666666668,1598.8175050454731,16255355704.7508,5.266666666666667,7.703076923076923
1997-03-31,81.82666666666667,1505.0021822003935,16642852400.3656,4.433333333333334,7.7930769230769235
1997-06-30,82.67,1744.8969524109834,17030195810.6717,4.566666666666666,7.926923076923076
1997-09-30,83.24666666666667,1853.8371685475797,17752496386.1615,4.3,7.47
1997-12-31,84.28333333333333,1908.4333929044599,18245900698.1295,4.2,7.205384615384616
1998-03-31,86.13,2015.60132426004,18520993629.4485,4.0,7.050000000000001
