,index,CBSA_CODE,CBSA_NAME
0,0,10140,Aberdeen WA Micropolitan Statistical Area
1,631,10180,Abilene TX Metropolitan Statistical Area
2,1202,10420,Akron OH Metropolitan Statistical Area
3,1773,10500,Albany GA Metropolitan Statistical Area
4,2356,10540,Albany OR Metropolitan Statistical Area
5,2987,10580,Albany-Schenectady-Troy NY Metropolitan Statistical Area
6,3581,10740,Albuquerque NM Metropolitan Statistical Area
7,4188,10780,Alexandria LA Metropolitan Statistical Area
8,4759,10900,Allentown-Bethlehem-Easton PA-NJ Metropolitan Statistical Area
9,5342,11020,Altoona PA Metropolitan Statistical Area
10,5925,11100,Amarillo TX Metropolitan Statistical Area
11,6496,11180,Ames IA Metropolitan Statistical Area
12,7067,11244,Anaheim-Santa Ana-Irvine CA Metropolitan Division
13,7698,11260,Anchorage AK Metropolitan Statistical Area
14,8329,11460,Ann Arbor MI Metropolitan Statistical Area
15,8960,11500,Anniston-Oxford-Jacksonville AL Metropolitan Statistical Area
16,9531,11540,Appleton WI Metropolitan Statistical Area
17,10102,11700,Asheville NC Metropolitan Statistical Area
18,10685,12020,Athens-Clarke County GA Metropolitan Statistical Area
19,11268,12060,Atlanta-Sandy Springs-Roswell GA Metropolitan Statistical Area
20,11851,12100,Atlantic City-Hammonton NJ Metropolitan Statistical Area
21,12422,12220,Auburn-Opelika AL Metropolitan Statistical Area
22,12993,12260,Augusta-Richmond County GA-SC Metropolitan Statistical Area
23,13576,12420,Austin-Round Rock TX Metropolitan Statistical Area
24,14147,12540,Bakersfield CA Metropolitan Statistical Area
25,14778,12580,Baltimore-Columbia-Towson MD Metropolitan Statistical Area
26,15409,12620,Bangor ME Metropolitan Statistical Area
27,15980,12700,Barnstable Town MA Metropolitan Statistical Area
28,16551,12780,Bartlesville OK Micropolitan Statistical Area
29,17122,12940,Baton Rouge LA Metropolitan Statistical Area
30,17693,12980,Battle Creek MI Metropolitan Statistical Area
31,18324,13020,Bay City MI Metropolitan Statistical Area
32,18955,13140,Beaumont-Port Arthur TX Metropolitan Statistical Area
